trace_id,error_index,stated,hg_caught,critic_caught,note
PMC10225816,0,,False,False,No HealthGuard flags. No Critic flag mentions the wrong sensory location 'posterior neck' vs correct 'anterior neck'.
PMC10225816,1,,False,True,Critic flag on the soluble IL-2 receptor statement explicitly targets the 'about 2.4 times ... using 500 U/mL as a cutof
PMC10225816,2,,False,True,Critic flag on the CSF statement explicitly identifies the incorrect '15 cells/μL' abnormal threshold and gives the corr
PMC10113930,0,,False,False,HealthGuard only repeats the perfusion interpretation and does not flag the wrong MAP value; Critic discusses the same c
PMC10113930,1,,True,True,HealthGuard flag matches the wrong fact directly: 'The patient has had no dental care for three years.' Critic explicitl
PMC10113930,2,,True,True,HealthGuard flag directly contains the wrong value: 'usual upper limit of 3.0 mg/dL.' Critic explicitly flags that same 
PMC10112701,0,,True,False,HealthGuard flag exactly repeats the wrong displacement site: 'displaced into the condylar areas.' Critic has no flag ab
PMC10112701,1,,True,False,HealthGuard flag exactly repeats the wrong histologic thickness: 'The epithelial lining is 5–7 cell layers thick.' Criti
PMC10112701,2,,False,True,Critic flag explicitly mentions the same cutoff claim: 'macrocephaly is often defined as occipitofrontal circumference a
PMC10189604,0,,True,True,HealthGuard explicitly flags the wrong measurement '4.4 × 2.1 cm.' Critic flag 1 also explicitly states the first mass s
PMC10189604,1,,True,True,HealthGuard explicitly flags the wrong summed long-axis burden '8.1 cm.' Critic flag 1 also identifies the summed burden
PMC10189604,2,,False,True,HealthGuard has no flag about vertebral/spinal axis criteria. Critic flag 3 explicitly quotes the claim that 'a spinal a
PMC10073084,0,,True,False,HealthGuard flag exactly matches the wrong fact: 'The suprapubic mass is equivalent to a 28-week pregnancy.' No Critic f
PMC10073084,1,,False,True,Critic flag quotes the same wrong value: 'estimated cross-sectional area of about 360 cm²' and explains 20 × 20 cm shoul
PMC10073084,2,,False,False,Neither HealthGuard nor Critic flags mention the menstrual cycle length (30-day vs 28-day cycles).
PMC10191493,0,,False,False,No flag addresses the 2 months to weeks conversion or the specific value 8 weeks vs 8.7 weeks.
PMC10191493,1,,True,True,HealthGuard explicitly flags 'MR enterography showed decompression of the fourth portion.' Critic flags the claim about 
PMC10191493,2,,False,True,"Critic explicitly flags 'A platelet count above roughly 400,000/μL would meet thrombocytosis.' HealthGuard has no flag a"
PMC10310937,0,,False,False,No HealthGuard flags. No Critic flag addresses the incorrect area value 4.5 cm² vs 5.0 cm².
PMC10310937,1,,False,False,No HealthGuard flags. No Critic flag addresses the narrowed lymphadenopathy statement vs the original general statement 
PMC10310937,2,,False,True,"Critic flag matched: ""Lesions larger than 3 cm are generally considered more typical of soft tissue sarcoma""."
PMC10338165,0,,False,True,Critic flag on '10 mm corresponds to about 0.8 cm' explicitly corrects it to 1.0 cm.
PMC10338165,1,,False,True,"Critic flag on 'In some screening contexts, lesions under 12 mm are generally considered low risk for nodal spread' says"
PMC10338165,2,,False,True,Critic flag on 'lesions under 12 mm are generally considered low risk for nodal spread' explicitly identifies the unsupp
PMC10406452,0,,False,False,No flag mentions the effusion size being 0.9 cm vs 0.7 cm.
PMC10406452,1,,True,True,"HealthGuard flag: 'Using the reported dimensions, the lesion’s maximal cross-sectional area is about 24 cm².' Critic fla"
PMC10406452,2,,False,False,No flag identifies the specific reversed fact that restricted diffusion is brighter/increased on high-b-value DWI rather
PMC10407195,0,,False,True,Critic flag 1 matches the same statement/value: '20/200 corresponds to about 10% of normal acuity'.
PMC10407195,1,,False,True,Critic flag 2 matches the same threshold statement: 'A serum IgG4 above about 140 mg/dL would generally be considered el
PMC10407195,2,,False,False,No HealthGuard flags. No Critic flag identifies the specific wrong interval change from one month to roughly 6 weeks.
PMC10481824,0,,False,False,No flag addresses the incorrect volume estimate of 1.8 L vs ~1960 cm^3.
PMC10481824,1,,True,False,"HealthGuard flag matched the same wrong fact: ""The mass causes moderate hydronephrosis."" No Critic flag addresses hydron"
PMC10481824,2,,False,True,"Critic flag matched the same attenuation-threshold claim: ""The attenuation range of 9–32 HU is also above the usual simp"
PMC10499291,0,,False,False,No HealthGuard flags. No Critic flag mentions the 12 vs 18 month radiographic progression timeline.
PMC10499291,1,,False,True,Critic flag 1 directly quotes the wrong conversion '52.14 nmol/L converts to about 24.9 ng/mL'.
PMC10499291,2,,False,True,Critic flag 1 identifies the PTH reference threshold claim 'usual adult reference threshold of 20–65 pg/mL' as unsupport
PMC10602372,0,,False,False,No flag mentions the incorrect severe-AR pressure half-time threshold of 400 ms or the correct severe threshold (<200 ms
PMC10602372,1,,False,True,"Critic flag matched: 'A 17 mm lesion is 1.7 cm, not about 2.0 cm.'"
PMC10602372,2,,True,False,HealthGuard flag matched the same wrong fact/value: 'LVEF was 40% with inferior hypokinesis.'
PMC10577159,0,,True,False,HealthGuard explicitly flagged: 'The nodule has been present for about 10 months.' No Critic flag addresses the 10 month
PMC10577159,1,,True,False,HealthGuard explicitly flagged: 'The right maxillary first molar had poor-quality endodontic treatment 5 years earlier.'
PMC10577159,2,,False,True,Critic explicitly flagged the unsupported claim containing 'the usual 3-month threshold for benign inflammatory nodules'
PMC10551103,0,,False,True,Critic flag 1 explicitly says MAP 67 mmHg is incorrect for BP 90/50 and gives the correct MAP ~63 mmHg.
PMC10551103,1,,True,True,HealthGuard flag 'Creatinine was 0.24.' matches the wrong creatinine value; Critic flag 4 explicitly states the case giv
PMC10551103,2,,False,True,Critic flag 5 explicitly flags the claim 'fibrinogen below 500 mg/dL would be more typical of consumptive coagulopathy' 
PMC10626292,0,,False,False,No flag mentions the BUN:creatinine ratio or the corrected value (~25.5:1).
PMC10626292,1,,False,False,No flag mentions the disease progression duration (2 weeks vs about 3 weeks).
PMC10626292,2,,True,True,"HealthGuard explicitly flagged the exact wrong statement about CK >10,000 making rhabdomyolysis unlikely; Critic flag 1 "
PMC10622404,0,,False,True,Critic explicitly flags the claim 'The BUN:creatinine ratio is about 56...' which contains the same wrong value. HealthG
PMC10622404,1,,True,False,"HealthGuard flags 'NT-proBNP is markedly elevated at 5759 ng/L,' which is the exact wrong value. Critic has no flag abou"
PMC10622404,2,,False,False,Neither HealthGuard nor Critic flags the rhabdomyolysis CK-threshold claim or its correct standard (>5× ULN / often >100
PMC10714326,0,,True,False,HealthGuard flag matched exactly: 'Bronchoalveolar lavage showed lymphocytic alveolitis of approximately 42%.' Critic ha
PMC10714326,1,,False,False,Neither HealthGuard nor Critic flagged the incorrect ESR upper-limit threshold of 15 mm/h for women.
PMC10714326,2,,True,True,Both matched the same wrong conversion: HealthGuard flagged 'The 18-month symptom duration corresponds to roughly 24 wee
PMC10849070,0,,False,True,"Critic flag 1 explicitly says the MAP from 85/56 mmHg is roughly 66 mmHg, not 72 mmHg."
