trace_id,path,resourceType,label,source,judge_verdict,included
PMC10011048,/Users/paulgoldschmidt/Desktop/git/PaulGoldschmidt/HealthGuard/testdata/streamlined/medcasereasoning/rationale/PMC10011048.json,clinicalCaseDiagnosis,flawed,rationale_wrong,mismatch,true
PMC10199808,/Users/paulgoldschmidt/Desktop/git/PaulGoldschmidt/HealthGuard/testdata/streamlined/medcasereasoning/rationale/PMC10199808.json,clinicalCaseDiagnosis,flawed,rationale_wrong,mismatch,true
PMC10216786,/Users/paulgoldschmidt/Desktop/git/PaulGoldschmidt/HealthGuard/testdata/streamlined/medcasereasoning/rationale/PMC10216786.json,clinicalCaseDiagnosis,flawed,rationale_wrong,mismatch,true
PMC10308979,/Users/paulgoldschmidt/Desktop/git/PaulGoldschmidt/HealthGuard/testdata/streamlined/medcasereasoning/rationale/PMC10308979.json,clinicalCaseDiagnosis,flawed,rationale_wrong,mismatch,true
PMC10689293,/Users/paulgoldschmidt/Desktop/git/PaulGoldschmidt/HealthGuard/testdata/streamlined/medcasereasoning/rationale/PMC10689293.json,clinicalCaseDiagnosis,flawed,rationale_wrong,mismatch,true
PMC10962068,/Users/paulgoldschmidt/Desktop/git/PaulGoldschmidt/HealthGuard/testdata/streamlined/medcasereasoning/rationale/PMC10962068.json,clinicalCaseDiagnosis,flawed,rationale_wrong,mismatch,true
PMC10962233,/Users/paulgoldschmidt/Desktop/git/PaulGoldschmidt/HealthGuard/testdata/streamlined/medcasereasoning/rationale/PMC10962233.json,clinicalCaseDiagnosis,flawed,rationale_wrong,mismatch,true
PMC11102672,/Users/paulgoldschmidt/Desktop/git/PaulGoldschmidt/HealthGuard/testdata/streamlined/medcasereasoning/rationale/PMC11102672.json,clinicalCaseDiagnosis,flawed,rationale_wrong,mismatch,true
PMC11481506,/Users/paulgoldschmidt/Desktop/git/PaulGoldschmidt/HealthGuard/testdata/streamlined/medcasereasoning/rationale/PMC11481506.json,clinicalCaseDiagnosis,flawed,rationale_wrong,mismatch,true
PMC11536889,/Users/paulgoldschmidt/Desktop/git/PaulGoldschmidt/HealthGuard/testdata/streamlined/medcasereasoning/rationale/PMC11536889.json,clinicalCaseDiagnosis,flawed,rationale_wrong,mismatch,true
PMC11607135,/Users/paulgoldschmidt/Desktop/git/PaulGoldschmidt/HealthGuard/testdata/streamlined/medcasereasoning/rationale/PMC11607135.json,clinicalCaseDiagnosis,flawed,rationale_wrong,mismatch,true
PMC11625114,/Users/paulgoldschmidt/Desktop/git/PaulGoldschmidt/HealthGuard/testdata/streamlined/medcasereasoning/rationale/PMC11625114.json,clinicalCaseDiagnosis,flawed,rationale_wrong,mismatch,true
PMC11639004,/Users/paulgoldschmidt/Desktop/git/PaulGoldschmidt/HealthGuard/testdata/streamlined/medcasereasoning/rationale/PMC11639004.json,clinicalCaseDiagnosis,flawed,rationale_wrong,mismatch,true
PMC11832257,/Users/paulgoldschmidt/Desktop/git/PaulGoldschmidt/HealthGuard/testdata/streamlined/medcasereasoning/rationale/PMC11832257.json,clinicalCaseDiagnosis,flawed,rationale_wrong,mismatch,true
PMC2430707,/Users/paulgoldschmidt/Desktop/git/PaulGoldschmidt/HealthGuard/testdata/streamlined/medcasereasoning/rationale/PMC2430707.json,clinicalCaseDiagnosis,flawed,rationale_wrong,mismatch,true
PMC3253064,/Users/paulgoldschmidt/Desktop/git/PaulGoldschmidt/HealthGuard/testdata/streamlined/medcasereasoning/rationale/PMC3253064.json,clinicalCaseDiagnosis,flawed,rationale_wrong,mismatch,true
PMC3287964,/Users/paulgoldschmidt/Desktop/git/PaulGoldschmidt/HealthGuard/testdata/streamlined/medcasereasoning/rationale/PMC3287964.json,clinicalCaseDiagnosis,flawed,rationale_wrong,mismatch,true
PMC3483658,/Users/paulgoldschmidt/Desktop/git/PaulGoldschmidt/HealthGuard/testdata/streamlined/medcasereasoning/rationale/PMC3483658.json,clinicalCaseDiagnosis,flawed,rationale_wrong,mismatch,true
PMC3564269,/Users/paulgoldschmidt/Desktop/git/PaulGoldschmidt/HealthGuard/testdata/streamlined/medcasereasoning/rationale/PMC3564269.json,clinicalCaseDiagnosis,flawed,rationale_wrong,mismatch,true
PMC3800618,/Users/paulgoldschmidt/Desktop/git/PaulGoldschmidt/HealthGuard/testdata/streamlined/medcasereasoning/rationale/PMC3800618.json,clinicalCaseDiagnosis,flawed,rationale_wrong,mismatch,true
PMC3863494,/Users/paulgoldschmidt/Desktop/git/PaulGoldschmidt/HealthGuard/testdata/streamlined/medcasereasoning/rationale/PMC3863494.json,clinicalCaseDiagnosis,flawed,rationale_wrong,mismatch,true
